No,Style Category,Design_DNA,Type,Keywords,Primary Colors,Secondary Colors,Effects & Animation,Best For,Do Not Use For,Light Mode ✓,Dark Mode ✓,Performance,Accessibility,Mobile-Friendly,Complexity,Signature_Elements,Composition_Rules
11,Retro-Futurism,nostalgic tomorrow,General,"Vintage sci-fi, 80s aesthetic, neon glow, geometric patterns, CRT scanlines, pixel art, cyberpunk, synthwave","Neon Blue #0080FF, Hot Pink #FF006E, Cyan #00FFFF, Deep Black #1A1A2E, Purple #5D34D0","Metallic Silver #C0C0C0, Gold #FFD700, duotone, 80s Pink #FF10F0, neon accents","CRT scanlines (::before overlay), neon glow (text-shadow+box-shadow), glitch effects (skew/offset keyframes)","Gaming, entertainment, music platforms, tech brands, artistic projects, nostalgic, cyberpunk","Conservative industries, critical accessibility, professional/corporate, elderly, legal/finance",✓ Full,✓ Dark focused,⚠ Moderate,⚠ High contrast/strain,◐ Medium,Medium,Vintage CRT-era glow effects with chromatic aberration on edges; faux scanline texture as ambient atmosphere; pixel-edged display typography for headlines; geometric grid patterns evoking 80s computer aesthetic; neon magenta and cyan accents over deep purple-black,Grid-driven layout with consistent column rhythm; Nostalgic visual patterns evoking a specific era; Futuristic visual layers with glow and depth effects
12,Flat Design,bold color language,General,"2D, minimalist, bold colors, no shadows, clean lines, simple shapes, typography-focused, modern, icon-heavy","Solid bright: Red, Orange, Blue, Green, limited palette (4-6 max)","Complementary colors, muted secondaries, high saturation, clean accents",Immediate press feedback via color inversion; smooth horizontal page push transitions; staggered bottom-up list appearance 200-300ms ease-out; chart bars grow from baseline on load; navigation icon color crossfade; no shadow or blur effects,"Web apps, mobile apps, cross-platform, startup MVPs, user-friendly, SaaS, dashboards, corporate","Complex 3D, premium/luxury, artistic portfolios, immersive experiences, high-detail",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,Low,Zero elevation pure-flat surfaces; bold color blocking as sole hierarchy mechanism; geometric shape overlays at low opacity; solid icon containers on colored backgrounds; clean uniform lighting with no directional source,Generous negative space between content blocks; Asymmetric balance to create visual tension; Center-aligned hero with single primary focal point
13,Skeuomorphism,real-world metaphor,General,"Realistic, texture, depth, 3D appearance, real-world metaphors, shadows, gradients, tactile, detailed, material","Rich realistic: wood, leather, metal colors, detailed gradients (8-12 stops), metallic effects","Realistic lighting gradients, shadow variations (30-50% darker), texture overlays, material colors","Realistic shadows (layers), depth (perspective), texture details (noise, grain), realistic animations (300-500ms)","Legacy apps, gaming, immersive storytelling, premium products, luxury, realistic simulations, education","Modern enterprise, critical accessibility, low-performance, web (use Flat/Modern)",◐ Partial,◐ Partial,❌ Poor,⚠ Textures reduce readability,✗ Low,High,"Multi-layered depth shadows mimicking physical light sources on textured surfaces; leather-grain, brushed-metal, and linen backgrounds as container skins; glossy button highlights with inner reflection gradients; toggle switches and dials rendered with realistic material physics",Layered depth through overlapping translucent surfaces; Spatial depth through perspective and layering; Color transitions as spatial navigational cues
14,Liquid Glass,fluid morphing surface,General,"Flowing glass, morphing, smooth transitions, fluid effects, translucent, animated blur, iridescent, chromatic aberration","Vibrant iridescent (rainbow spectrum), translucent base with opacity shifts, gradient fluidity","Chromatic aberration (Red-Cyan), iridescent oil-spill, fluid gradient blends, holographic effects","Morphing elements (SVG/CSS), fluid animations (400-600ms curves), dynamic blur (backdrop-filter), color transitions","Premium SaaS, high-end e-commerce, creative platforms, branding experiences, luxury portfolios","Performance-limited, critical accessibility, complex data, budget projects",✓ Full,✓ Full,⚠ Moderate-Poor,⚠ Text contrast,◐ Medium,High,Flowing glass; morphing; smooth transitions; fluid effects; Morphing elements (SVG/CSS),Layered depth through overlapping translucent surfaces; Organic shapes softening rigid rectangular containers
15,Motion-Driven,choreographed narrative,General,"Animation-heavy, microinteractions, smooth transitions, scroll effects, parallax, entrance anim, page transitions","Bold colors emphasize movement, high contrast animated, dynamic gradients, accent action colors","Transitional states, success (Green #22C55E), error (Red #EF4444), neutral feedback","Scroll anim (Intersection Observer), hover (300-400ms), entrance, parallax (3-5 layers), page transitions","Portfolio sites, storytelling platforms, interactive experiences, entertainment apps, creative, SaaS","Data dashboards, critical accessibility, low-power devices, content-heavy, motion-sensitive",✓ Full,✓ Full,⚠ Good,⚠ Prefers-reduced-motion,✓ Good,High,Animation-heavy; microinteractions; smooth transitions; scroll effects; Scroll anim (Intersection Observer),Scroll-sequenced narrative where each viewport triggers a choreographed reveal; foreground elements animate independently of background parallax; motion pauses create visual rest beats
16,Micro-interactions,responsive tactile detail,General,"Small animations, gesture-based, tactile feedback, subtle animations, contextual interactions, responsive","Subtle color shifts (10-20%), feedback: Green #22C55E, Red #EF4444, Amber #F59E0B","Accent feedback, neutral supporting, clear action indicators","Small hover (50-100ms), loading spinners, success/error state anim, gesture-triggered (swipe/pinch), haptic","Mobile apps, touchscreen UIs, productivity tools, user-friendly, consumer apps, interactive components","Desktop-only, critical performance, accessibility-first (alternatives needed)",✓ Full,✓ Full,⚡ Excellent,✓ Good,✓ High,Medium,Small animations; gesture-based; tactile feedback; subtle animations; Small hover (50-100ms),Standard grid with interaction density concentrated at control clusters; whitespace isolates interactive zones so micro-feedback stays readable; progressive disclosure via expand-in-place rather than page navigation
17,Zero Interface,invisible architecture,General,"Minimal visible UI, voice-first, gesture-based, AI-driven, invisible controls, predictive, context-aware, ambient","Neutral backgrounds: Soft white #FAFAFA, light grey #F0F0F0, warm off-white #F5F1E8","Subtle feedback: light green, light red, minimal UI elements, soft accents","Voice recognition UI, gesture detection, AI predictions (smooth reveal), progressive disclosure, smart suggestions","Voice assistants, AI platforms, future-forward UX, smart home, contextual computing, ambient experiences","Complex workflows, data-entry heavy, traditional systems, legacy support, explicit control",✓ Full,✓ Full,⚡ Excellent,✓ Excellent,✓ High,Low,Near-invisible chrome with content floating on clean void; single-line input field as primary interaction surface; AI-generated responses appearing with typewriter cadence; contextual controls materializing on hover then dissolving,Generous negative space between content blocks
18,Soft UI Evolution,refined embossed depth,General,"Evolved soft UI, better contrast, modern aesthetics, subtle depth, accessibility-focused, improved shadows, hybrid","Improved contrast pastels: Soft Blue #87CEEB, Soft Pink #FFB6C1, Soft Green #90EE90, better hierarchy","Better combinations, accessible secondary, supporting with improved contrast, modern accents","Improved shadows (softer than flat, clearer than neumorphism), modern (200-300ms), focus visible, WCAG AA/AAA","Modern enterprise apps, SaaS platforms, health/wellness, modern business tools, professional, hybrid","Extreme minimalism, critical performance, systems without modern OS",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA+,✓ High,Medium,Evolved soft UI; better contrast; modern aesthetics; subtle depth; Improved shadows (softer than flat,Center-aligned hero with single primary focal point; Layered depth through overlapping translucent surfaces
19,Hero-Centric Design,commanding first impression,Landing Page,"Large hero section, compelling headline, high-contrast CTA, product showcase, value proposition, hero image/video, dramatic visual","Brand primary color, white/light backgrounds for contrast, accent color for CTA","Supporting colors for secondary CTAs, accent highlights, trust elements (testimonials, logos)",Smooth scroll-reveal with staggered fade-up below hero fold; subtle background parallax on hero image; card hover lifts with shadow deepen; CTA button pulse glow on idle; slider drag with spring momentum; accordion expand with eased height transition 200-300ms ease-out,"SaaS landing pages, product launches, service landing pages, B2B platforms, tech companies","Complex navigation, multi-page experiences, data-heavy applications",✓ Full,✓ Full,⚡ Good,✓ WCAG AA,✓ Full,Medium,Full-viewport hero with commanding focal image or illustration; layered foreground type over background media; high-contrast CTA anchored in visual center; soft diffused overhead light on card sections below hero; minimal shadow footprint,Full-viewport hero dominates first fold with single focal message; content below the fold uses alternating image-text bands that narrow visual width progressively; each section has one clear CTA anchor
20,Conversion-Optimized,focused persuasion,Landing Page,"Form-focused, minimalist design, single CTA focus, high contrast, urgency elements, trust signals, social proof, clear value","Primary brand color, high-contrast white/light backgrounds, warning/urgency colors for time-limited offers","Secondary CTA color (muted), trust element colors (testimonial highlights), accent for key benefits","Hover states on CTA (color shift, slight scale), form field focus animations, loading spinner, success feedback","E-commerce product pages, free trial signups, lead generation, SaaS pricing pages, limited-time offers","Complex feature explanations, multi-product showcases, technical documentation",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ Full (mobile-optimized),Medium,Form-focused; minimalist design; single CTA focus; high contrast; Hover states on CTA (color shift,Generous negative space between content blocks; Center-aligned hero with single primary focal point
21,Feature-Rich Showcase,structured demonstration,Landing Page,"Multiple feature sections, grid layout, benefit cards, visual feature demonstrations, interactive elements, problem-solution pairs","Primary brand, bright secondary colors for feature cards, contrasting accent for CTAs","Supporting colors for: benefits (green), problems (red/orange), features (blue/purple), social proof (neutral)","Card hover effects (lift/scale), icon animations on scroll, feature toggle animations, smooth section transitions","Enterprise SaaS, software tools landing pages, platform services, complex product explanations, B2B products","Simple product pages, early-stage startups with few features, entertainment landing pages",✓ Full,✓ Full,⚡ Good,✓ WCAG AA,✓ Good,Medium,Multiple feature sections; grid layout; benefit cards; visual feature demonstrations; Card hover effects (lift/scale),Grid-driven layout with consistent column rhythm
22,Minimal & Direct,distilled intent,Landing Page,"Minimal text, white space heavy, single column layout, direct messaging, clean typography, visual-centric, fast-loading","Monochromatic primary, white background, single accent color for CTA, black/dark grey text","Minimal secondary colors, reserved for critical CTAs only, neutral supporting elements","Very subtle hover effects, minimal animations, fast page load (no heavy animations), smooth scroll","Simple service landing pages, indie products, consulting services, micro SaaS, freelancer portfolios","Feature-heavy products, complex explanations, multi-product showcases",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ Full,Medium,Minimal text; white space heavy; single column layout; direct messaging; Very subtle hover effects,Generous negative space between content blocks
23,Social Proof-Focused,trust through evidence,Landing Page,"Testimonials prominent, client logos displayed, case studies sections, reviews/ratings, user avatars, success metrics, credibility markers","Primary brand, trust colors (blue), success/growth colors (green), neutral backgrounds","Testimonial highlight colors, logo grid backgrounds (light grey), badge/achievement colors","Testimonial carousel animations, logo grid fade-in, stat counter animations (number count-up), review star ratings","B2B SaaS, professional services, premium products, e-commerce conversion pages, established brands","Startup MVPs, products without users, niche/experimental products",✓ Full,✓ Full,⚡ Good,✓ WCAG AA,✓ Full,Medium,Testimonials prominent; client logos displayed; case studies sections; reviews/ratings; Testimonial carousel animations,Center-aligned hero with single primary focal point
24,Interactive Product Demo,experiential discovery,Landing Page,"Embedded product mockup/video, interactive elements, product walkthrough, step-by-step guides, hover-to-reveal features, embedded demos","Primary brand, interface colors matching product, demo highlight colors for interactive elements","Product UI colors, tutorial step colors (numbered progression), hover state indicators","Product animation playback, step progression animations, hover reveal effects, smooth zoom on interaction","SaaS platforms, tool/software products, productivity apps landing pages, developer tools, productivity software","Simple services, consulting, non-digital products, complexity-averse audiences",✓ Full,✓ Full,⚠ Good (video/interactive),✓ WCAG AA,✓ Good,Medium,Embedded product mockup/video; interactive elements; product walkthrough; step-by-step guides; Product animation playback,"Split-screen layout: persistent product demo panel on one side, explanatory content scrolling on the other; step indicators track progress; demo viewport maintains fixed aspect ratio across breakpoints"
25,Trust & Authority,institutional credibility,Landing Page,"Certificates/badges displayed, expert credentials, case studies with metrics, before/after comparisons, industry recognition, security badges","Professional colors (blue/grey), trust colors, certification badge colors (gold/silver accents)","Certificate highlight colors, metric showcase colors, comparison highlight (success green)","Badge hover effects, metric pulse animations, certificate carousel, smooth stat reveal","Healthcare/medical landing pages, financial services, enterprise software, premium/luxury products, legal services","Casual products, entertainment, viral/social-first products",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ Full,Medium,Certificates/badges displayed; expert credentials; case studies with metrics; before/after comparisons; Badge hover effects,Symmetrical centered layout conveying institutional stability; credential badges and metrics in horizontal scannable rows; testimonial blocks alternate sides for visual rhythm; whitespace signals confidence not emptiness
26,Storytelling-Driven,cinematic scroll narrative,Landing Page,"Narrative flow, visual story progression, section transitions, consistent character/brand voice, emotional messaging, journey visualization","Brand primary, warm/emotional colors, varied accent colors per story section, high visual variety","Story section color coding, emotional state colors (calm, excitement, success), transitional gradients","Section-to-section animations, scroll-triggered reveals, character/icon animations, morphing transitions, parallax narrative","Brand/startup stories, mission-driven products, premium/lifestyle brands, documentary-style products, educational","Technical/complex products (unless narrative-driven), traditional enterprise software",✓ Full,✓ Full,⚠ Moderate (animations),✓ WCAG AA,✓ Good,Medium,Narrative flow; visual story progression; section transitions; consistent character/brand voice; Section-to-section animations,Vertical scroll narrative with chapter-like section breaks; full-bleed imagery alternates with tight text columns; pacing accelerates toward the CTA climax; each section advances one argument
27,Data-Dense Dashboard,information density,BI/Analytics,"Multiple charts/widgets, data tables, KPI cards, minimal padding, grid layout, space-efficient, maximum data visibility","Neutral primary (light grey/white #F5F5F5), data colors (blue/green/red), dark text #333333","Chart colors: success (green #22C55E), warning (amber #F59E0B), alert (red #EF4444), neutral (grey)","Hover tooltips, chart zoom on click, row highlighting on hover, smooth filter animations, data loading spinners","Business intelligence dashboards, financial analytics, enterprise reporting, operational dashboards, data warehousing","Marketing dashboards, consumer-facing analytics, simple reporting",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,◐ Medium,Medium,Multiple charts/widgets; data tables; KPI cards; minimal padding; Hover tooltips,Grid-driven layout with consistent column rhythm; Generous negative space between content blocks; Information-dense layout with clear visual hierarchy
28,Heat Map & Heatmap Style,data intensity mapping,BI/Analytics,"Color-coded grid/matrix, data intensity visualization, geographical heat maps, correlation matrices, cell-based representation, gradient coloring","Gradient scale: Cool (blue #0080FF) to hot (red #FF0000), neutral middle (white/yellow)","Support gradients: Light (cool blue) to dark (warm red), divergent for positive/negative data, monochromatic options","Color gradient transitions on data change, cell highlighting on hover, tooltip reveal on click, smooth color animation","Geographical analysis, performance matrices, correlation analysis, user behavior heatmaps, temperature/intensity data","Linear data representation, categorical comparisons (use bar charts), small datasets",✓ Full,✓ Full (with adjustments),⚡ Excellent,⚠ Colorblind considerations,◐ Medium,Medium,Color-coded grid/matrix; data intensity visualization; geographical heat maps; correlation matrices; Color gradient transitions on data change,Grid-driven layout with consistent column rhythm; Information-dense layout with clear visual hierarchy; Color transitions as spatial navigational cues
29,Executive Dashboard,executive signal clarity,BI/Analytics,"High-level KPIs, large key metrics, minimal detail, summary view, trend indicators, at-a-glance insights, executive summary","Brand colors, professional palette (blue/grey/white), accent for KPIs, red for alerts/concerns","KPI highlight colors: positive (green), negative (red), neutral (grey), trend arrow colors","KPI value animations (count-up), trend arrow direction animations, metric card hover lift, alert pulse effect","C-suite dashboards, business summary reports, decision-maker dashboards, strategic planning views","Detailed analyst dashboards, technical deep-dives, operational monitoring",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✗ Low (not mobile-optimized),Medium,High-level KPIs; large key metrics; minimal detail; summary view; KPI value animations (count-up),Generous negative space between content blocks; Information-dense layout with clear visual hierarchy
30,Real-Time Monitoring,live pulse awareness,BI/Analytics,"Live data updates, status indicators, alert notifications, streaming data visualization, active monitoring, streaming charts","Alert colors: critical (red #FF0000), warning (orange #FFA500), normal (green #22C55E), updating (blue animation)","Status indicator colors, chart line colors varying by metric, streaming data highlight colors","Real-time chart animations, alert pulse/glow, status indicator blink animation, smooth data stream updates, loading effect","System monitoring dashboards, DevOps dashboards, real-time analytics, stock market dashboards, live event tracking","Historical analysis, long-term trend reports, archived data dashboards",✓ Full,✓ Full,⚡ Good (real-time load),✓ WCAG AA,◐ Medium,Medium,Live data updates; status indicators; alert notifications; streaming data visualization; Real-time chart animations,"Status-first layout: critical alerts pinned top, live metrics in dense grid below, historical timeline at bottom; information refreshes in place without layout shift"
31,Drill-Down Analytics,progressive data reveal,BI/Analytics,"Hierarchical data exploration, expandable sections, interactive drill-down paths, summary-to-detail flow, context preservation","Primary brand, breadcrumb colors, drill-level indicator colors, hierarchy depth colors","Drill-down path indicator colors, level-specific colors, highlight colors for selected level, transition colors","Drill-down expand animations, breadcrumb click transitions, smooth detail reveal, level change smooth, data reload animation","Sales analytics, product analytics, funnel analysis, multi-dimensional data exploration, business intelligence","Simple linear data, single-metric dashboards, streaming real-time dashboards",✓ Full,✓ Full,⚡ Good,✓ WCAG AA,◐ Medium,Medium,Hierarchical data exploration; expandable sections; interactive drill-down paths; summary-to-detail flow; Drill-down expand animations,"Master-detail pattern: summary cards in overview grid, clicking expands inline or navigates to detail panel; breadcrumb trail tracks drill depth; filters persist across drill levels"
32,Comparative Analysis Dashboard,side-by-side truth,BI/Analytics,"Side-by-side comparisons, period-over-period metrics, A/B test results, regional comparisons, performance benchmarks","Comparison colors: primary (blue), comparison (orange/purple), delta indicator (green/red)","Winning metric color (green), losing metric color (red), neutral comparison (grey), benchmark colors","Comparison bar animations (grow to value), delta indicator animations (direction arrows), highlight on compare","Period-over-period reporting, A/B test dashboards, market comparison, competitive analysis, regional performance","Single metric dashboards, future projections (use forecasting), real-time only (no historical)",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,◐ Medium,Medium,Side-by-side comparisons; period-over-period metrics; A/B test results; regional comparisons; Comparison bar animations (grow to value),Side-by-side panel layout for direct metric comparison; synchronized axes and shared legends across panels; highlight differences over similarities; toggle between overlay and split views
33,Predictive Analytics,forecast visualization,BI/Analytics,"Forecast lines, confidence intervals, trend projections, scenario modeling, AI-driven insights, anomaly detection visualization","Forecast line color (distinct from actual), confidence interval shading, anomaly highlight (red alert), trend colors","High confidence (dark color), low confidence (light color), anomaly colors (red/orange), normal trend (green/blue)","Forecast line animation on draw, confidence band fade-in, anomaly pulse alert, smoothing function animations","Forecasting dashboards, anomaly detection systems, trend prediction dashboards, AI-powered analytics, budget planning","Historical-only dashboards, simple reporting, real-time operational dashboards",✓ Full,✓ Full,⚠ Good (computation),✓ WCAG AA,◐ Medium,Medium,Forecast lines; confidence intervals; trend projections; scenario modeling; Forecast line animation on draw,Primary forecast visualization dominates upper two-thirds; control panel docked below or in sidebar; confidence intervals layer transparently over base chart; scenario comparison uses side-by-side panels not tabs
34,User Behavior Analytics,behavioral flow mapping,BI/Analytics,"Funnel visualization, user flow diagrams, conversion tracking, engagement metrics, user journey mapping, cohort analysis","Funnel stage colors: high engagement (green), drop-off (red), conversion (blue), user flow arrows (grey)","Stage completion colors (success), abandonment colors (warning), engagement levels (gradient), cohort colors","Funnel animation (fill-down), flow diagram animations (connection draw), conversion pulse, engagement bar fill","Conversion funnel analysis, user journey tracking, engagement analytics, cohort analysis, retention tracking","Real-time operational metrics, technical system monitoring, financial transactions",✓ Full,✓ Full,⚡ Good,✓ WCAG AA,✓ Good,Medium,Funnel visualization; user flow diagrams; conversion tracking; engagement metrics; Funnel animation (fill-down),Dynamic content blocks with varied sizes and color accents
