No,Product Type,Primary,On Primary,Secondary,On Secondary,Accent,On Accent,Background,Foreground,Card,Card Foreground,Muted,Muted Foreground,Border,Destructive,On Destructive,Ring,Keywords,Notes
31,Restaurant/Food Service,#DA2323,#FFFFFF,#F87171,#0F172A,#A16207,#FFFFFF,#FEF2F2,#450A0A,#FFFFFF,#450A0A,#F0EDF1,#64748B,#FECACA,#DC2626,#FFFFFF,#DC2626,cafe cooking cuisine dining eat food meal recipe restaurant,Appetizing red + warm gold [Accent adjusted from #CA8A04 for WCAG 3:1]
32,Fitness/Gym App,#F97316,#0F172A,#FB923C,#0F172A,#22C55E,#0F172A,#1F2937,#F8FAFC,#313742,#F8FAFC,#3A4554,#94A3B8,#4A576C,#EF4444,#FFFFFF,#F97316,active exercise fitness gym sport training workout,Energy orange + success green
33,Real Estate/Property,#0F766E,#FFFFFF,#14B8A6,#0F172A,#0369A1,#FFFFFF,#FAFAFA,#134E4A,#FFFFFF,#134E4A,#E8F0F3,#64748B,#99F6E4,#DC2626,#FFFFFF,#0F766E,apartment estate home housing property real,Trust teal + professional blue; bg neutralized
34,Travel/Tourism Agency,#0A79AC,#FFFFFF,#38BDF8,#0F172A,#EA580C,#0F172A,#F0F9FF,#0C4A6E,#FFFFFF,#0C4A6E,#E8F2F8,#64748B,#BAE6FD,#DC2626,#FFFFFF,#0EA5E9,advertising creative destination journey marketing promotion studio tour tourism travel trip vacation,Sky blue + adventure orange [Accent adjusted from #F97316 for WCAG 3:1]
35,Hotel/Hospitality,#1E3A8A,#FFFFFF,#3B82F6,#FFFFFF,#0891B2,#0F172A,#FFFEFB,#1E40AF,#FFFFFF,#1E40AF,#F2F0EC,#64748B,#E3E2DE,#DC2626,#FFFFFF,#1E3A8A,accommodation hospitality lodge resort stay,Luxury navy + gold service [Accent adjusted from #CA8A04 for WCAG 3:1]
36,Wedding/Event Planning,#D32371,#FFFFFF,#F472B6,#0F172A,#B8860B,#0F172A,#FDF2F8,#831843,#FFFFFF,#831843,#F0EDF4,#64748B,#FBCFE8,#DC2626,#FFFFFF,#DB2777,bridal celebration ceremony event marriage,Romantic pink + elegant gold [Accent adjusted from #CA8A04 for WCAG 3:1]
37,Legal Services,#1E3A8A,#FFFFFF,#1E40AF,#FFFFFF,#DB2777,#FFFFFF,#FAF9F5,#0F172A,#FFFFFF,#0F172A,#F2F0EC,#64748B,#E3E2DE,#DC2626,#FFFFFF,#1E3A8A,attorney court justice law lawyer,Authority navy + trust gold
38,Insurance Platform,#0369A1,#FFFFFF,#0EA5E9,#0F172A,#1E40AF,#FFFFFF,#FFFFFF,#0C4A6E,#FFFFFF,#0C4A6E,#E7EFF5,#64748B,#E5E5E5,#DC2626,#FFFFFF,#0369A1,claim coverage policy protection,Security blue + trust amber; bg neutralized
39,Banking/Traditional Finance,#203159,#FFFFFF,#1E3A8A,#FFFFFF,#0D9488,#0F172A,#FAFAF9,#020617,#FFFFFF,#020617,#F2F0EC,#64748B,#E3E2DE,#DC2626,#FFFFFF,#203159,bank banking finance financial fintech money,Trust navy + premium gold [Accent adjusted from #CA8A04 for WCAG 3:1]
40,Online Course/E-learning,#0B8177,#FFFFFF,#2DD4BF,#0F172A,#1E3A5F,#FFFFFF,#FAFAFA,#134E4A,#FFFFFF,#134E4A,#E8F1F4,#64748B,#5EEAD4,#DC2626,#FFFFFF,#0D9488,education educational learn school study teaching,Progress teal + achievement orange [Accent adjusted from #F97316 for WCAG 3:1]; bg neutralized
41,Non-profit/Charity,#07819F,#FFFFFF,#22D3EE,#0F172A,#059669,#0F172A,#FFFFFF,#164E63,#FFFFFF,#164E63,#E8F1F6,#64748B,#A5F3FC,#DC2626,#FFFFFF,#0891B2,cause donation giving nonprofit volunteer,Compassion blue + action orange [Accent adjusted from #F97316 for WCAG 3:1]; bg neutralized
42,Music Streaming,#242059,#FFFFFF,#4338CA,#FFFFFF,#0D9488,#0F172A,#0F0F23,#F8FAFC,#1B1B30,#F8FAFC,#31314A,#94A3B8,#3C389D,#EF4444,#FFFFFF,#242059,audio instrument melody rhythm song sound,Dark purple + entertainment pink
43,Video Streaming/OTT,#262659,#FFFFFF,#1E1B4B,#FFFFFF,#E11D48,#FFFFFF,#000000,#F8FAFC,#0C0C0D,#F8FAFC,#2C2C2C,#94A3B8,#36338E,#EF4444,#FFFFFF,#262659,clip film movie recording streaming,Cinema dark + play red
44,Job Board/Recruitment,#0369A1,#FFFFFF,#0EA5E9,#0F172A,#EA580C,#0F172A,#FFFFFF,#0C4A6E,#FFFFFF,#0C4A6E,#E7EFF5,#64748B,#BAE6FD,#DC2626,#FFFFFF,#0369A1,jobs hiring recruitment career employment talent hr,Professional blue + opportunity orange; bg neutralized
45,Marketplace (P2P),#B91C1C,#FFFFFF,#EF4444,#FFFFFF,#2563EB,#FFFFFF,#FEF2F2,#450A0A,#FFFFFF,#450A0A,#F0EDEE,#64748B,#FECACA,#DC2626,#FFFFFF,#B91C1C,buy ecommerce retail sell shopping store,Marketplace red + teal CTA
46,Logistics/Delivery,#2563EB,#FFFFFF,#3B82F6,#FFFFFF,#EA580C,#0F172A,#FFFFFF,#1E40AF,#FFFFFF,#1E40AF,#E9EFF8,#64748B,#E5E5E5,#DC2626,#FFFFFF,#2563EB,chain courier delivery logistics shipping supply transport,Tracking blue + delivery orange [Accent adjusted from #F97316 for WCAG 3:1]; bg neutralized
47,Agriculture/Farm Tech,#15803D,#FFFFFF,#22C55E,#0F172A,#A16207,#FFFFFF,#FAFAFA,#14532D,#FFFFFF,#14532D,#E8F0F1,#64748B,#BBF7D0,#DC2626,#FFFFFF,#15803D,crop farm farming harvest plant,Earth green + harvest gold [Accent adjusted from #CA8A04 for WCAG 3:1]; bg neutralized
48,Construction/Architecture,#627188,#FFFFFF,#94A3B8,#0F172A,#15803D,#FFFFFF,#F5F5F5,#334155,#FFFFFF,#334155,#EBEBEB,#64748B,#E0E0E0,#DC2626,#FFFFFF,#64748B,architecture building construction design engineering interior project site,Industrial grey + safety orange [Accent adjusted from #F97316 for WCAG 3:1]
49,Automotive/Car Dealership,#2D3E59,#FFFFFF,#334155,#FFFFFF,#DC2626,#FFFFFF,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#E9EDF1,#64748B,#E2E8F0,#DC2626,#FFFFFF,#2D3E59,auto automotive car driving motor vehicle,Premium dark + action red
50,Photography Studio,#3E3E59,#FFFFFF,#27272A,#FFFFFF,#F8FAFC,#0F172A,#000000,#FAFAFA,#0C0C0C,#FAFAFA,#2C2C2C,#94A3B8,#3F3F46,#EF4444,#FFFFFF,#3E3E59,camera capture image photo picture,Pure black + white contrast
51,Coworking Space,#A16806,#FFFFFF,#FBBF24,#0F172A,#2563EB,#FFFFFF,#FFFBEB,#78350F,#FFFFFF,#78350F,#F1F2EF,#64748B,#FDE68A,#DC2626,#FFFFFF,#F59E0B,coworking shared workspace office community collaborative hotdesk,Energetic amber + booking blue
52,Home Services (Plumber/Electrician),#1E40AF,#FFFFFF,#3B82F6,#FFFFFF,#EA580C,#0F172A,#FFFFFF,#1E3A8A,#FFFFFF,#1E3A8A,#E9EEF6,#64748B,#BFDBFE,#DC2626,#FFFFFF,#1E40AF,plumber electrician repair handyman maintenance home service fix,Professional blue + urgent orange [Accent adjusted from #F97316 for WCAG 3:1]; bg neutralized
53,Childcare/Daycare,#D81079,#FFFFFF,#FBCFE8,#0F172A,#2563EB,#FFFFFF,#FDF2F8,#9D174D,#FFFFFF,#9D174D,#F1F0F6,#64748B,#FCE7F3,#DC2626,#FFFFFF,#F472B6,child children daycare kids nursery preschool toddler,Playful pink + cheerful yellow
54,Senior Care/Elderly,#0369A1,#FFFFFF,#38BDF8,#0F172A,#CA8A04,#0F172A,#FFFFFF,#0C4A6E,#FFFFFF,#0C4A6E,#E7EFF5,#64748B,#E0F2FE,#DC2626,#FFFFFF,#0369A1,aging care elderly retirement senior,Calm blue + warm amber; bg neutralized
55,Medical Clinic,#077E9B,#FFFFFF,#22D3EE,#0F172A,#0D9488,#0F172A,#FAFAFA,#134E4A,#FFFFFF,#134E4A,#E8F1F6,#64748B,#E5E5E5,#DC2626,#FFFFFF,#0891B2,clinic doctor health healthcare hospital wellness,Medical teal + health green [Accent adjusted from #22C55E for WCAG 3:1]; bg neutralized
56,Pharmacy/Drug Store,#15803D,#FFFFFF,#22C55E,#0F172A,#0369A1,#FFFFFF,#FAFAFA,#14532D,#FFFFFF,#14532D,#E8F0F1,#64748B,#BBF7D0,#DC2626,#FFFFFF,#15803D,drug medication medicine prescription,Pharmacy green + trust blue; bg neutralized
57,Dental Practice,#0A7EB3,#FFFFFF,#38BDF8,#0F172A,#A16207,#FFFFFF,#FFFFFF,#0C4A6E,#FFFFFF,#0C4A6E,#E8F2F8,#64748B,#BAE6FD,#DC2626,#FFFFFF,#0EA5E9,clinic dentist oral teeth,Fresh blue + smile yellow [Accent adjusted from #FBBF24 for WCAG 3:1]; bg neutralized
58,Veterinary Clinic,#0B8177,#FFFFFF,#14B8A6,#0F172A,#0891B2,#0F172A,#FAFAFA,#134E4A,#FFFFFF,#134E4A,#E8F1F4,#64748B,#E5E5E5,#DC2626,#FFFFFF,#0D9488,animal clinic pet vet,Caring teal + warm orange [Accent adjusted from #F97316 for WCAG 3:1]; bg neutralized
59,Florist/Plant Shop,#15803D,#FFFFFF,#22C55E,#0F172A,#15803D,#FFFFFF,#F0FDF4,#14532D,#FFFFFF,#14532D,#E8F0F1,#64748B,#BBF7D0,#DC2626,#FFFFFF,#15803D,bouquet floral flower garden green nature plant,Natural green + floral pink
60,Bakery/Cafe,#92400E,#FFFFFF,#B45309,#FFFFFF,#047857,#FFFFFF,#FAFAF9,#2A211C,#FFFFFF,#2A211C,#F2F0EC,#6B625A,#9F7A62,#DC2626,#FFFFFF,#92400E,bakery baking bread cafe cake coffee pastry restaurant,Warm bakery brown + sage accent; neutral stone background
61,Brewery/Winery,#7C2D12,#FFFFFF,#B91C1C,#FFFFFF,#A16207,#FFFFFF,#FEF2F2,#450A0A,#FFFFFF,#450A0A,#ECEDF0,#64748B,#FECACA,#DC2626,#FFFFFF,#7C2D12,alcohol beer brewery craft drink vineyard wine winery,Deep burgundy + craft gold [Accent adjusted from #CA8A04 for WCAG 3:1]
62,Airline,#1E3A8A,#FFFFFF,#3B82F6,#FFFFFF,#CA8A04,#0F172A,#FFFFFF,#1E40AF,#FFFFFF,#1E40AF,#E9EEF5,#64748B,#BFDBFE,#DC2626,#FFFFFF,#1E3A8A,airplane airport aviation flight,Sky blue + booking orange [Accent adjusted from #F97316 for WCAG 3:1]; bg neutralized
63,News/Media Platform,#DA2323,#FFFFFF,#EF4444,#FFFFFF,#027CBA,#FFFFFF,#FEF2F2,#450A0A,#FFFFFF,#450A0A,#F0EDF1,#64748B,#E5E5E5,#DC2626,#FFFFFF,#DC2626,article current journalism media press,Breaking red + link blue
64,Magazine/Blog,#3E3E59,#FFFFFF,#3F3F46,#FFFFFF,#EC4899,#09090B,#FAFAFA,#09090B,#FFFFFF,#09090B,#E8ECF0,#64748B,#E4E4E7,#DC2626,#FFFFFF,#3E3E59,blog content editorial magazine media publication writing,Editorial black + accent pink
65,Freelancer Platform,#B45309,#FFFFFF,#D97706,#0F172A,#0891B2,#0F172A,#FFFFFF,#78350F,#FFFBEB,#78350F,#F3EFE8,#64748B,#E5E5E5,#DC2626,#FFFFFF,#B45309,contractor freelance gig independent remote,Craft amber + teal CTA [bg neutralized from #FFFBEB; cream moved to Card surface]
66,Event Management,#D32371,#FFFFFF,#F472B6,#0F172A,#7C3AED,#FFFFFF,#FDF2F8,#831843,#FFFFFF,#831843,#F0EDF4,#64748B,#FBCFE8,#DC2626,#FFFFFF,#DB2777,events conference meetup planning tickets calendar venue,Festive rose + violet accent
67,Membership/Community,#0369A1,#FFFFFF,#0EA5E9,#0F172A,#D97706,#0F172A,#FFFFFF,#0C4A6E,#FFFFFF,#0C4A6E,#E7EFF5,#64748B,#BAE6FD,#DC2626,#FFFFFF,#0369A1,access club community forum group membership network social subscription,Community sky blue + warm gold; bg neutralized
68,Newsletter Platform,#0369A1,#FFFFFF,#0EA5E9,#0F172A,#059669,#0F172A,#FFFFFF,#0C4A6E,#FFFFFF,#0C4A6E,#E7EFF5,#64748B,#E5E5E5,#DC2626,#FFFFFF,#0369A1,content email subscription update,Trust blue + subscribe orange [Accent adjusted from #F97316 for WCAG 3:1]; bg neutralized
69,Digital Products/Downloads,#04875F,#FFFFFF,#10B981,#0F172A,#7C3AED,#FFFFFF,#FFFFFF,#064E3B,#FFFFFF,#064E3B,#E8F1F3,#64748B,#A7F3D0,#DC2626,#FFFFFF,#059669,digital download template asset marketplace resource,Digital emerald + discovery pink; bg neutralized
70,Church/Religious Organization,#7F1D1D,#FFFFFF,#991B1B,#FFFFFF,#A16207,#FFFFFF,#FEF2F2,#450A0A,#FFFFFF,#450A0A,#F0EDEE,#64748B,#FECACA,#DC2626,#FFFFFF,#7F1D1D,church faith prayer religious spiritual worship,Sacred crimson + spiritual gold
71,Sports Team/Club,#DA2323,#FFFFFF,#EF4444,#FFFFFF,#92400E,#FFFFFF,#FEF2F2,#7F1D1D,#FFFFFF,#7F1D1D,#F0EDF1,#64748B,#FECACA,#DC2626,#FFFFFF,#DC2626,athletic exercise fitness gym team workout,Team red + championship gold [Accent adjusted from #FBBF24 for WCAG 3:1]
72,Museum/Gallery,#3E3E59,#FFFFFF,#27272A,#FFFFFF,#D4AF37,#0F172A,#FAFAFA,#09090B,#FFFFFF,#09090B,#E8ECF0,#64748B,#E4E4E7,#DC2626,#FFFFFF,#3E3E59,art creative culture exhibition gallery heritage museum,Gallery black + white space [Accent adjusted from #F8FAFC for WCAG 3:1]
73,Theater/Cinema,#242059,#FFFFFF,#312E81,#FFFFFF,#CA8A04,#0F172A,#0F0F23,#F8FAFC,#1B1B30,#F8FAFC,#31314A,#94A3B8,#4338CA,#EF4444,#FFFFFF,#242059,cinema film movie performance show stage theater,Dramatic dark + spotlight gold
74,Language Learning App,#0B8177,#FFFFFF,#14B8A6,#0F172A,#BE123C,#FFFFFF,#FAFAFA,#134E4A,#FFFFFF,#134E4A,#E8F1F4,#64748B,#99F6E4,#DC2626,#FFFFFF,#0D9488,education educational international learn multilingual school speak study teaching translate,International teal + highlight yellow; bg neutralized
75,Coding Bootcamp,#203159,#FFFFFF,#1E293B,#FFFFFF,#16A34A,#0F172A,#020617,#F8FAFC,#0E1223,#F8FAFC,#282E48,#94A3B8,#354358,#EF4444,#FFFFFF,#203159,code developer engineer programming software,Dark bg + code cyan
76,Cybersecurity Platform,#00FF41,#0F172A,#0D0D0D,#FFFFFF,#FF3333,#0F172A,#000000,#E0E0E0,#0C130E,#E0E0E0,#2C2C2C,#94A3B8,#404040,#EF4444,#FFFFFF,#00FF41,hacking privacy protection security,Matrix green + alert red
77,Developer Tool / IDE,#2D3E59,#FFFFFF,#334155,#FFFFFF,#06B6D4,#0F172A,#0F172A,#F8FAFC,#1B2336,#F8FAFC,#2E374D,#94A3B8,#475569,#EF4444,#FFFFFF,#2D3E59,code coding dev engineer programming software,Dark bg + dev cyan
78,Biotech / Life Sciences,#0A7EB3,#FFFFFF,#027CBA,#FFFFFF,#7C3AED,#FFFFFF,#FFFFFF,#0C4A6E,#FFFFFF,#0C4A6E,#E8F2F8,#64748B,#BAE6FD,#DC2626,#FFFFFF,#0EA5E9,biology lab life research science,Cyan + lab purple; bg neutralized
79,Space Tech / Aerospace,#B8D6F5,#0F172A,#94A3B8,#0F172A,#3B82F6,#0F172A,#0B0B10,#F8FAFC,#1E1E23,#F8FAFC,#303037,#94A3B8,#334564,#EF4444,#FFFFFF,#B8D6F5,aerospace rocket satellite,Star white + launch blue
80,Architecture / Interior,#3E4759,#FFFFFF,#404040,#FFFFFF,#A16207,#FFFFFF,#FFFFFF,#171717,#FFFFFF,#171717,#E8ECF0,#64748B,#E5E5E5,#DC2626,#FFFFFF,#3E4759,architecture building construction decoration design home interior room,Minimal black + accent gold [Accent adjusted from #D4AF37 for WCAG 3:1]
81,Quantum Computing Interface,#00FFFF,#0F172A,#6196FF,#0F172A,#D4A017,#0F172A,#050510,#E0E0FF,#101823,#E0E0FF,#2D2D3E,#94A3B8,#404055,#EF4444,#FFFFFF,#00FFFF,quantum computing science research simulation algorithm,Quantum cyan + interference purple
82,Biohacking / Longevity App,#E30000,#FFFFFF,#F28F49,#0F172A,#059669,#1C1C1E,#F5F5F7,#1C1C1E,#FFFFFF,#1C1C1E,#F2EEF2,#64748B,#E5E5EA,#DC2626,#FFFFFF,#FF4D4D,biohacking longevity health optimization wellness science bio,Bio red/blue + vitality green [Accent adjusted from #00E676 for WCAG 3:1]
83,Autonomous Drone Fleet Manager,#00FF41,#0F172A,#008F11,#FFFFFF,#FF3333,#0F172A,#0D1117,#E6EDF3,#182424,#E6EDF3,#2F343C,#94A3B8,#404851,#EF4444,#FFFFFF,#00FF41,drone fleet autonomous aerial management robotics,Terminal green + alert red
84,Generative Art Platform,#3E3E59,#FFFFFF,#3F3F46,#FFFFFF,#EC4899,#09090B,#FAFAFA,#09090B,#FFFFFF,#09090B,#E8ECF0,#64748B,#E4E4E7,#DC2626,#FFFFFF,#3E3E59,generative art creative algorithm procedural artistic,Canvas neutral + creative pink
85,Spatial Computing OS / App,#CCE6FF,#0F172A,#E5E5E5,#0F172A,#0369A1,#FFFFFF,#888888,#000000,#999999,#000000,#777777,#D4D4D4,#CCCCCC,#FF3B30,#FFFFFF,#CCE6FF,spatial computing vr ar mixed reality 3d immersive,Glass white + system blue [Accent adjusted from #007AFF for WCAG 3:1]
86,Sustainable Energy / Climate Tech,#04875F,#FFFFFF,#10B981,#0F172A,#FBBF24,#0F172A,#FFFFFF,#064E3B,#FFFFFF,#064E3B,#E8F1F3,#64748B,#A7F3D0,#DC2626,#FFFFFF,#059669,clean climate eco energy green power solar sustainable,Nature green + solar gold [Accent adjusted from #FBBF24 for WCAG 3:1]; bg neutralized
