No,Font_Name_CN,Font_Name_EN,Font_Family,Category,Mood_Keywords,Best_For,Best_For_CN,Weights,CDN_URL,CDN_URL_Template,Usage,平台,language
78,Source Sans 3,Source Sans 3,SourceSans3,sans,"Adobe’s screen‑first open‑source sans‑serif, robust for dense UI.",Corporate / documentation,,Italic Variable,SourceSans3_SourceSans3[wght].ttf,,body,,西文
79,Poppins,Poppins,Poppins,sans,Geometric modern sans-serif for startup branding,hero titles,,Black Bold ExtraLight Italic Light Medium Regular SemiBold Thin,Poppins_Regular.ttf,Poppins_{weight}.ttf,both,,西文
80,DM Sans,DM Sans,DMSans,sans,geometric sans-serif font perfect for digital interfaces and body text,dashboard,,Regular,DMSans_Regular.ttf,,both,,西文
81,Work Sans,Work Sans,WorkSans,sans,Functional grotesque sans-serif for productivity,Modern / clean,,Italic Variable,WorkSans_WorkSans[wght].ttf,,body,,西文
82,Manrope,Manrope,Manrope,sans,Modern clean sans-serif for fintech dashboards,Tech / creative,,Regular,Manrope_Regular.ttf,,both,,西文
83,Public Sans,Public Sans,PublicSans,sans,"Neutral, highly accessible sans‑serif for government and enterprise",legal documents,,Italic Variable,PublicSans_Variable.ttf,PublicSans_{weight}.ttf,body,,西文
84,Raleway,Raleway,Raleway,sans,Elegant geometric sans-serif for luxury branding and headlines,luxury,,Italic Variable,Raleway_Raleway[wght].ttf,,heading,,西文
85,Figtree,Figtree,Figtree,sans,"Minimal geometric sans‑serif, friendly yet professional for modern products.",Youth branding,,Variable Italic,Figtree_Figtree[wght].ttf,,body,,西文
86,Space Grotesk,Space Grotesk,SpaceGrotesk,sans,"Quirky proportional sans‑serif, brings tech‑forward character to",tech product / SaaS,,Regular,SpaceGrotesk_Regular.ttf,,both,,西文
87,Ubuntu,Ubuntu,Ubuntu,sans,Warm humanist sans-serif for open-source and developer platforms,open-source / developer platform,,Bold Italic Light Medium Regular,Ubuntu_Regular.ttf,Ubuntu_{weight}.ttf,body,,西文
88,Lora,Lora,Lora,serif,"Calligraphically‑inspired serif, adds sophistication to editorial",E-book readers,,Italic Variable,Lora_Lora[wght].ttf,,both,,西文
89,Merriweather,Merriweather,Merriweather,serif,"Large x‑height serif, engineered for comfortable long‑form reading.",news / editorial,,Variable VariableItalic,Merriweather_Variable.ttf,Merriweather_{weight}.ttf,both,,西文
90,Rubik,Rubik,Rubik,sans,Rounded geometric sans-serif for playful branding,social media,,Italic Variable,Rubik_Rubik[wght].ttf,,both,,西文
91,Sora,Sora,Sora,sans,"App‑first typeface with unique forms, stands out in digital interfaces.",product branding / digital interface,,Regular,Sora_Regular.ttf,,heading,,西文
92,Mona Sans,Mona Sans,MonaSans,sans,"Industrial‑grotesque with variable axes, highly flexible for branding.",Digital product,,Italic Regular Variable,MonaSans_Regular.ttf,MonaSans_{weight}.ttf,body,,西文
93,Plus Jakarta Sans,Plus Jakarta Sans,PlusJakartaSans,sans,"Modern geometric, clean for corporate dashboards and data‑heavy",government / public sector,,Italic Variable,PlusJakartaSans_PlusJakartaSans[wght].ttf,,both,,西文
94,Noto Sans,Noto Sans,NotoSans,sans,"Pan‑unified, zero‑default font family for global UI consistency.",enterprise software,,Regular,NotoSans_Regular.ttf,,body,APP,西文
95,Urbanist,Urbanist,Urbanist,sans,"Low‑contrast geometric, inspired by Modernism, suited for lifestyle",Modern web interfaces,,Italic Variable,Urbanist_Urbanist[wght].ttf,,both,,西文
96,Libre Baskerville,Libre Baskerville,LibreBaskerville,serif,"Digital revival of a classic, optimized for elegant on‑screen reading.",on-screen reading,,Italic Variable,LibreBaskerville_LibreBaskerville[wght].ttf,,body,,西文
97,Quicksand,Quicksand,Quicksand,sans,"Rounded terminal display sans‑serif, soft and playful for informal apps.",friendly chatbots,,Regular,Quicksand_Regular.ttf,,body,,西文
98,Archivo,Archivo,Archivo,sans,"Grotesque sans‑serif, high performance for both digital and print.",streetwear branding,,Regular,Archivo_Regular.ttf,,both,,西文
99,Be Vietnam Pro,Be Vietnam Pro,BeVietnamPro,sans,"Clean sans‑serif, multilingual support ideal for tech brand",Multilingual interface,,Black Bold ExtraLight Light Medium Regular SemiBold Thin,BeVietnamPro_Regular.ttf,BeVietnamPro_{weight}.ttf,body,,西文
100,Epilogue,Epilogue,Epilogue,sans,"Variable sans‑serif, wide weight range for expressive UI design.",expressive UI / branding,,Variable Italic,Epilogue_Epilogue[wght].ttf,,both,,西文
101,Jost,Jost,Jost,sans,"Geometric sans‑serif, 1920s functionalist influence, timeless modern.",Modern design,,Italic Variable,Jost_Jost[wght].ttf,,both,,西文
102,Karla,Karla,Karla,sans,"Quirky grotesque, highly readable for small body text and captions.",body text / captions,,Italic Variable,Karla_Karla[wght].ttf,,body,,西文
103,Inter Tight,Inter Tight,InterTight,sans,"Condensed variant of Inter, space‑efficient for dense information displays.",dense information displays,,Variable Italic,InterTight_InterTight[wght].ttf,,both,APP,西文
104,Mulish,Mulish,Mulish,sans,Minimal geometric sans-serif for modern lifestyle and SaaS products,lifestyle / SaaS,,Italic Variable,Mulish_Mulish[wght].ttf,,body,,西文
105,Red Hat Display,Red Hat Display,RedHatDisplay,sans,"Clean geometric, designed for high‑impact headlines in open‑source projects.",Brand design / Banner,,Italic Variable,RedHatDisplay_RedHatDisplay[wght].ttf,,both,,西文
106,Syne,Syne,Syne,sans,"Avant‑garde, unconventional styles for creative and artistic UIs.",gaming landing pages,,Regular,Syne_Regular.ttf,,heading,,西文
107,Titillium Web,Titillium Web,TitilliumWeb,sans,"Academic‑born technical sans‑serif, ideal for engineering and science apps.",engineering、science,,Black Bold ExtraLight Light Regular SemiBold,TitilliumWeb_Regular.ttf,TitilliumWeb_{weight}.ttf,body,,西文
108,PT Sans,PT Sans,PTSans,sans,"Widely‑used Latin‑Cyrillic sans‑serif, clear and functional.",multilingual interface / documentation,,Bold BoldItalic Italic Regular,PTSans_Regular.ttf,PTSans_{weight}.ttf,body,,西文
109,Gothic A1,Gothic A1,GothicA1,sans,"Neutral sans‑serif, works well for both Latin and Korean UI text.",Modern corporate,,Black Bold ExtraLight Light Medium Regular SemiBold Thin,GothicA1_Regular.ttf,GothicA1_{weight}.ttf,body,,韩文、西文
110,Heebo,Heebo,Heebo,sans,Crisp modern sans-serif for multilingual tech and enterprise,Multilingual,,Regular,Heebo_Regular.ttf,,body,,西文
111,Hind,Hind,Hind,sans,Highly legible sans-serif for multilingual reading,reading,,Bold Light Medium Regular SemiBold,Hind_Regular.ttf,Hind_{weight}.ttf,body,,西文
112,Lexend,Lexend,Lexend,sans,Designed to reduce visual stress and improve reading proficiency.,reading,,Regular,Lexend_Regular.ttf,,body,,西文
113,Overpass,Overpass,Overpass,sans,"Highway signage influence, high visibility and civic feel for UI.",government UI / civic platform,,Italic Variable,Overpass_Overpass[wght].ttf,,body,,西文
114,Oxygen,Oxygen,Oxygen,sans,Clean screen-optimized sans-serif for desktop and system interfaces,System interface,,Bold Light Regular,Oxygen_Regular.ttf,Oxygen_{weight}.ttf,body,,西文
115,Prompt,Prompt,Prompt,sans,Geometric multilingual sans-serif for modern Thai-Latin digital,Friendly / Youth branding / Multilingual interface,,Black Bold ExtraLight Light Medium Regular SemiBold Thin,Prompt_Regular.ttf,Prompt_{weight}.ttf,body,,西文
116,Sarabun,Sarabun,Sarabun,sans,"Thai government official font, clean and formal for administrative",administrative,,Bold ExtraLight Light Medium Regular SemiBold Thin,Sarabun_Regular.ttf,Sarabun_{weight}.ttf,body,,西文
117,Varela Round,Varela Round,VarelaRound,sans,Rounded friendly sans-serif for casual and educational,educational games,,Regular,VarelaRound_Regular.ttf,,body,,西文
118,Zilla Slab,Zilla Slab,ZillaSlab,serif,"Modern slab serif, technical yet friendly, for Mozilla‑branded",long-form articles,,Bold Light Medium Regular SemiBold,ZillaSlab_Regular.ttf,ZillaSlab_{weight}.ttf,body,,西文
119,Crimson Pro,Crimson Pro,CrimsonPro,serif,"Sophisticated serif, ideal for book‑quality long‑form digital text.",magazines,,Variable Italic,CrimsonPro_CrimsonPro[wght].ttf,,both,,西文
120,Domine,Domine,Domine,serif,"Vertically stressed serif, sturdy for comfortable news website reading.",academic journals,,Regular,Domine_Regular.ttf,,body,,西文
121,EB Garamond,EB Garamond,EBGaramond,serif,elegant classic serif editorial long-form,editorial book typography,,Variable Italic,EBGaramond_EBGaramond[wght].ttf,,body,,西文
122,Fraunces,Fraunces,Fraunces,serif,"Variable “soft‑serif”, vintage‑inspired for creative UI accents.",creative accents,,Regular,Fraunces_Regular.ttf,,both,,西文
123,Libre Franklin,Libre Franklin,LibreFranklin,sans,Neutral modern sans-serif for corporate and responsive,corporate,,Italic Variable,LibreFranklin_LibreFranklin[wght].ttf,,both,,西文
124,Literata,Literata,Literata,serif,warm modern serif readable comfortable,e-book digital reading,,Regular,Literata_Regular.ttf,,body,,西文
125,Cormorant Garamond,Cormorant Garamond,CormorantGaramond,serif,majestic elegant serif revival luxury,luxury branding high-end editorial,,Variable Italic,CormorantGaramond_CormorantGaramond[wght].ttf,,heading,,西文
126,Noto Sans JP,Noto Sans JP,NotoSansJP,sans,"Modern, Clean, Universal, Highly Legible",enterprise software,,Regular,NotoSansJP_Regular.ttf,,both,APP,日文
127,BIZ UDPGothic,BIZ UDPGothic,BIZUDPGothic,sans,"Functional, Business-ready, Universal Design, Reliable",Corporate document,,Bold Regular,BIZUDPGothic_Regular.ttf,BIZUDPGothic_{weight}.ttf,body,,日文
128,Kosugi Maru,Kosugi Maru,KosugiMaru,sans,"Friendly, Soft, Casual, Approachable",Children’s,,Regular,KosugiMaru_Regular.ttf,,body,,日文
129,M PLUS Rounded 1c,M PLUS Rounded 1c,MPLUSRounded1c,sans,Rounded sans-serif for social apps & kids,Social media,,Black Bold Light Medium Regular Thin,MPLUSRounded1c_Regular.ttf,MPLUSRounded1c_{weight}.ttf,both,,日文
