No,Product Type,Keywords,Primary Style Recommendation,Secondary Styles,Landing Page Pattern,Dashboard Style (if applicable),Color Palette Focus,Key Considerations
22,Mental Health App,"anxiety, counseling, mental, mindfulness, psychology, therapy, wellness",Neumorphism + Accessible & Ethical,"Claymorphism, Soft UI Evolution, Pastel Wellness (Mobile)",Social Proof-Focused,Healthcare Analytics,Calm Pastels + Trust colors,Calming aesthetics. Privacy-first. Crisis resources. Progress tracking. Accessibility mandatory.
23,Pet Tech App,"animal, cat, dog, grooming, pet, shelter, veterinary",Claymorphism + Vibrant & Block-based,"Micro-interactions, Flat Design",Storytelling-Driven,User Behavior Analytics,Playful + Warm colors,Pet profiles. Health tracking. Playful UI. Photo galleries. Vet integration.
24,Smart Home/IoT Dashboard,"admin, analytics, dashboard, data, home, iot, panel, smart",Glassmorphism + Dark Mode (OLED),"Minimalism & Swiss Style, AI-Native UI, Neumorphism (Mobile)",Interactive Product Demo,Real-Time Monitoring,Dark + Status indicator colors,Device status. Real-time controls. Energy monitoring. Automation rules. Quick actions.
25,EV/Charging Ecosystem,"battery, charging, electric, energy, ev, station, vehicle",Minimalism & Swiss Style + Aurora UI,"Glassmorphism, Organic Biophilic",Hero-Centric Design,Energy/Utilities Dashboard,Electric Blue (#009CD1) + Green,Charging station maps. Range estimation. Cost calculation. Environmental impact.
26,Subscription Box Service,"appointment, booking, box, consultation, membership, plan, recurring, service, subscription",Vibrant & Block-based + Motion-Driven,"Claymorphism, Aurora UI",Feature-Rich Showcase,E-commerce Analytics,Brand + Excitement colors,Unboxing experience. Personalization quiz. Subscription management. Product reveals.
27,Podcast Platform,"audio, episode, listen, show, rss, podcast, platform",Dark Mode (OLED) + Minimalism & Swiss Style,"Motion-Driven, Vibrant & Block-based, Carson Deconstructed Editorial",Storytelling-Driven,Media/Entertainment Dashboard,Dark + Audio waveform accents,Audio player UX. Episode discovery. Creator tools. Analytics for podcasters.
28,Dating App,"match, swipe, romance, profile, love, dating, app",Vibrant & Block-based + Motion-Driven,"Aurora UI, Glassmorphism, Social Warm Mobile",Social Proof-Focused,User Behavior Analytics,Warm + Romantic (Pink/Red gradients),Profile cards. Swipe interactions. Match animations. Safety features. Video chat.
29,Micro-Credentials/Badges Platform,"badge, certificate, certification, credential, diploma, micro-credential, verification",Minimalism & Swiss Style + Flat Design,"Accessible & Ethical, Swiss Modernism 2.0",Trust & Authority,Education Dashboard,Trust Blue + Gold (#FFD700),Credential verification. Badge display. Progress tracking. Issuer trust. LinkedIn integration.
30,Knowledge Base/Documentation,"docs, documentation, faq, guide, help-center, knowledge, wiki",Minimalism & Swiss Style + Accessible & Ethical,"Swiss Modernism 2.0, Flat Design",FAQ/Documentation,N/A - Documentation focused,Clean hierarchy + minimal color,Search-first. Clear navigation. Code highlighting. Version switching. Feedback system.
31,Hyperlocal Services,"appointment, booking, consultation, hyperlocal, service, services",Minimalism & Swiss Style + Vibrant & Block-based,"Micro-interactions, Flat Design",Conversion-Optimized,Drill-Down Analytics + Map,Location markers + Trust colors,Map integration. Service categories. Provider profiles. Booking system. Reviews.
32,Beauty/Spa/Wellness Service,"appointment, beauty, booking, consultation, service, spa, wellness",Soft UI Evolution + Neumorphism,"Glassmorphism, Minimalism & Swiss Style, Glassmorphism Light (Mobile)",Hero-Centric Design + Social Proof,User Behavior Analytics,Soft pastels (Pink #FFB6C1 Sage #90EE90) + Cream + Gold accents,Calming aesthetic. Booking system. Service menu. Before/after gallery. Testimonials. Relaxing imagery.
33,Luxury/Premium Brand,"brand, elegant, exclusive, high-end, luxury, premium",Liquid Glass + Glassmorphism,"Minimalism & Swiss Style, 3D & Hyperrealism, Editorial Dark Luxury (Mobile), Minimalist Monochrome",Storytelling-Driven + Feature-Rich,Sales Intelligence Dashboard,Black + Gold (#FFD700) + White + Minimal accent,Elegance paramount. Premium imagery. Storytelling. High-quality visuals. Exclusive feel.
34,Restaurant/Food Service,"appointment, booking, consultation, delivery, food, menu, order, restaurant, service",Vibrant & Block-based + Motion-Driven,"Claymorphism, Flat Design",Hero-Centric Design + Conversion,N/A - Booking focused,Warm colors (Orange Red Brown) + appetizing imagery,Menu display. Online ordering. Reservation system. Food photography. Location/hours prominent.
35,Fitness/Gym App,"app, exercise, fitness, gym, health, workout",Vibrant & Block-based + Dark Mode (OLED),"Motion-Driven, Neumorphism, Brand-Immersive Utility (Mobile), Sports Action Mobile",Feature-Rich Showcase,User Behavior Analytics,Energetic (Orange #FF6B35 Electric Blue) + Dark bg,Progress tracking. Workout plans. Community features. Achievements. Motivational design.
36,Real Estate/Property,"buy, estate, housing, property, real, real-estate, rent",Glassmorphism + Minimalism & Swiss Style,"Motion-Driven, 3D & Hyperrealism",Hero-Centric Design + Feature-Rich,Sales Intelligence Dashboard,Trust Blue (#0077B6) + Gold accents + White,Property listings. Virtual tours. Map integration. Agent profiles. Mortgage calculator. High-quality imagery.
37,Travel/Tourism Agency,"agency, booking, creative, design, flight, hotel, marketing, studio, tourism, travel, vacation",Aurora UI + Motion-Driven,"Vibrant & Block-based, Glassmorphism",Storytelling-Driven + Hero-Centric,Booking Analytics,Vibrant destination colors + Sky Blue + Warm accents,Destination showcase. Booking system. Itinerary builder. Reviews. Inspiration galleries. Mobile-first.
38,Hotel/Hospitality,"room, booking, resort, accommodation, stay, hospitality, hotel",Liquid Glass + Minimalism & Swiss Style,"Glassmorphism, Soft UI Evolution, Editorial Dark Luxury (Mobile)",Hero-Centric Design + Social Proof,Revenue Management Dashboard,Warm neutrals + Gold (#D4AF37) + Brand accent,Room booking. Amenities showcase. Location maps. Guest reviews. Seasonal pricing. Luxury imagery.
39,Wedding/Event Planning,"conference, event, meetup, planning, registration, ticket, wedding",Soft UI Evolution + Aurora UI,"Glassmorphism, Motion-Driven",Storytelling-Driven + Social Proof,N/A - Planning focused,Soft Pink (#FFD6E0) + Gold + Cream + Sage,Portfolio gallery. Vendor directory. Planning tools. Timeline. Budget tracker. Romantic aesthetic.
40,Legal Services,"appointment, attorney, booking, compliance, consultation, contract, law, legal, service, services",Trust & Authority + Minimalism & Swiss Style,"Accessible & Ethical, Swiss Modernism 2.0",Trust & Authority + Minimal,Case Management Dashboard,Navy Blue (#1E3A5F) + Gold + White,Credibility paramount. Practice areas. Attorney profiles. Case results. Contact forms. Professional imagery.
41,Insurance Platform,"claim, coverage, insurance, policy, premium, risk, underwriting",Trust & Authority + Flat Design,"Accessible & Ethical, Minimalism & Swiss Style",Conversion-Optimized + Trust,Claims Analytics Dashboard,Trust Blue (#0066CC) + Green (security) + Neutral,Quote calculator. Policy comparison. Claims process. Trust signals. Clear pricing. Security badges.
42,Banking/Traditional Finance,"account, bank, banking, deposit, finance, loan, savings, transfer",Minimalism & Swiss Style + Accessible & Ethical,"Trust & Authority, Dark Mode (OLED), Financial Dashboard",Trust & Authority + Feature-Rich,Financial Dashboard,Navy (#0A1628) + Trust Blue + Gold accents,Security-first. Account overview. Transaction history. Mobile banking. Accessibility critical. Trust paramount.
43,Online Course/E-learning,"course, curriculum, e-learning, education, lesson, mooc, online, tutorial",Claymorphism + Vibrant & Block-based,"Motion-Driven, Flat Design, Academia (Scholarly Mobile)",Feature-Rich Showcase + Social Proof,Education Dashboard,Vibrant learning colors + Progress green,Course catalog. Progress tracking. Video player. Quizzes. Certificates. Community forums. Gamification.
44,Non-profit/Charity,"charity, donate, donation, foundation, fundraise, ngo, nonprofit, volunteer",Accessible & Ethical + Organic Biophilic,"Minimalism & Swiss Style, Storytelling-Driven",Storytelling-Driven + Trust,Donation Analytics Dashboard,Cause-related colors + Trust + Warm,Impact stories. Donation flow. Transparency reports. Volunteer signup. Event calendar. Emotional connection.
45,Music Streaming,"playlist, song, audio, listen, album, music, streaming",Dark Mode (OLED) + Vibrant & Block-based,"Motion-Driven, Aurora UI, Risograph Editorial, Risograph Mobile, Gradient Mesh / Aurora Evolved",Feature-Rich Showcase,Media/Entertainment Dashboard,Dark (#121212) + Vibrant accents + Album art colors,Audio player. Playlist management. Artist pages. Personalization. Social features. Waveform visualizations.
46,Video Streaming/OTT,"live, movie, ott, series, show, streaming, tv, video, watch",Dark Mode (OLED) + Motion-Driven,"Glassmorphism, Vibrant & Block-based, Modern Dark (Cinema Mobile)",Hero-Centric Design + Feature-Rich,Media/Entertainment Dashboard,Dark bg + Content poster colors + Brand accent,Video player. Content discovery. Watchlist. Continue watching. Personalized recommendations. Thumbnail-heavy.
47,Job Board/Recruitment,"career resume cv job hiring recruitment employer talent vacancy professional profile workforce",Flat Design + Minimalism & Swiss Style,"Vibrant & Block-based, Accessible & Ethical",Conversion-Optimized + Feature-Rich,HR Analytics Dashboard,Professional Blue + Success Green + Neutral,Job listings. Search/filter. Company profiles. Application tracking. Resume upload. Salary insights.
48,Marketplace (P2P),"buyers, listings, marketplace, p, platform, sellers",Vibrant & Block-based + Flat Design,"Micro-interactions, Trust & Authority",Feature-Rich Showcase + Social Proof,E-commerce Analytics,Trust colors + Category colors + Success green,Seller/buyer profiles. Listings. Reviews/ratings. Secure payment. Messaging. Search/filter. Trust badges.
49,Logistics/Delivery,"courier, delivery, freight, logistics, shipping, supply-chain, transport, warehouse",Minimalism & Swiss Style + Flat Design,"Dark Mode (OLED), Micro-interactions",Feature-Rich Showcase + Conversion,Real-Time Monitoring + Route Analytics,Blue (#2563EB) + Orange (tracking) + Green (delivered),Real-time tracking. Delivery scheduling. Route optimization. Driver management. Status updates. Map integration.
50,Agriculture/Farm Tech,"agricultural, agriculture, crop, farm, farming, harvest, livestock, produce, rural, yield",Organic Biophilic + Flat Design,"Minimalism & Swiss Style, Accessible & Ethical",Feature-Rich Showcase + Trust,IoT Sensor Dashboard,Earth Green (#4A7C23) + Brown + Sky Blue,Crop monitoring. Weather data. IoT sensors. Yield tracking. Market prices. Sustainable imagery.
51,Construction/Architecture,"blueprint, build, building, construction, contractor, engineering, infrastructure, site",Minimalism & Swiss Style + 3D & Hyperrealism,"Brutalism, Swiss Modernism 2.0",Hero-Centric Design + Feature-Rich,Project Management Dashboard,Grey (#4A4A4A) + Orange (safety) + Blueprint Blue,Project portfolio. 3D renders. Timeline. Material specs. Team collaboration. Blueprint aesthetic.
52,Automotive/Car Dealership,"auto, automotive, car, dealer, dealership, motor, vehicle",Motion-Driven + 3D & Hyperrealism,"Dark Mode (OLED), Glassmorphism, 3D Product Preview",Hero-Centric Design + Feature-Rich,Sales Intelligence Dashboard,Brand colors + Metallic accents + Dark/Light,Vehicle showcase. 360° views. Comparison tools. Financing calculator. Test drive booking. High-quality imagery.
53,Photography Studio,"photo, portrait, shoot, gallery, camera, photography, studio",Motion-Driven + Minimalism & Swiss Style,"Aurora UI, Glassmorphism, Product Showcase Minimal, Film Warm Mobile, Vintage Analog / Retro Film",Storytelling-Driven + Hero-Centric,N/A - Portfolio focused,Black + White + Minimal accent,Portfolio gallery. Before/after. Service packages. Booking system. Client galleries. Full-bleed imagery.
54,Coworking Space,"cowork, shared, office, workspace, community, desk, coworking, space",Vibrant & Block-based + Glassmorphism,"Minimalism & Swiss Style, Motion-Driven",Hero-Centric Design + Feature-Rich,Occupancy Dashboard,Energetic colors + Wood tones + Brand accent,Space tour. Membership plans. Booking system. Amenities. Community events. Virtual tour.
55,Home Services (Plumber/Electrician),"appointment, booking, consultation, electrician, home, plumber, service, services",Flat Design + Trust & Authority,"Minimalism & Swiss Style, Accessible & Ethical, Super-Normal Industrial",Conversion-Optimized + Trust,Service Analytics,Trust Blue + Safety Orange + Professional grey,Service list. Emergency contact. Booking. Price transparency. Certifications. Local trust signals.
56,Childcare/Daycare,"preschool, toddler, nursery, babysitting, childcare, daycare",Claymorphism + Vibrant & Block-based,"Soft UI Evolution, Accessible & Ethical",Social Proof-Focused + Trust,Parent Dashboard,Playful pastels + Safe colors + Warm accents,Programs. Staff profiles. Safety certifications. Parent portal. Activity updates. Cheerful imagery.
57,Senior Care/Elderly,"aging, retirement, assistance, caregiver, senior, elderly, care",Accessible & Ethical + Soft UI Evolution,"Minimalism & Swiss Style, Neumorphism",Trust & Authority + Social Proof,Healthcare Analytics,Calm Blue + Warm neutrals + Large text,Care services. Staff qualifications. Facility tour. Family portal. Large touch targets. High contrast. Accessibility-first.
58,Medical Clinic,"appointment, clinic, doctor, healthcare, hospital, medical, patient",Accessible & Ethical + Minimalism & Swiss Style,"Neumorphism, Trust & Authority, Clinical Clean Mobile",Trust & Authority + Conversion,Healthcare Analytics,Medical Blue (#0077B6) + Trust White + Calm Green,Services. Doctor profiles. Online booking. Patient portal. Insurance info. HIPAA compliant. Trust signals.
59,Pharmacy/Drug Store,"drug, medication, medicine, pharmaceutical, pharmacy, prescription, refill",Flat Design + Accessible & Ethical,"Minimalism & Swiss Style, Trust & Authority",Conversion-Optimized + Trust,Inventory Dashboard,Pharmacy Green + Trust Blue + Clean White,Product catalog. Prescription upload. Refill reminders. Health info. Store locator. Safety certifications.
60,Dental Practice,"dentist, teeth, smile, oral, hygiene, dental, practice",Soft UI Evolution + Minimalism & Swiss Style,"Accessible & Ethical, Trust & Authority",Social Proof-Focused + Conversion,Patient Analytics,Fresh Blue + White + Smile Yellow accent,Services. Dentist profiles. Before/after. Online booking. Insurance. Patient testimonials. Friendly imagery.
61,Veterinary Clinic,"pet, animal, vet, health, care, veterinary, clinic",Claymorphism + Accessible & Ethical,"Soft UI Evolution, Flat Design",Social Proof-Focused + Trust,Pet Health Dashboard,Caring Blue + Pet-friendly colors + Warm accents,Pet services. Vet profiles. Online booking. Pet portal. Emergency info. Friendly animal imagery.
62,Florist/Plant Shop,"flower, bouquet, arrangement, garden, plant, florist, shop",Organic Biophilic + Vibrant & Block-based,"Aurora UI, Motion-Driven",Hero-Centric Design + Conversion,E-commerce Analytics,Natural Green + Floral pinks/purples + Earth tones,Product catalog. Occasion categories. Delivery scheduling. Care guides. Seasonal collections. Beautiful imagery.
63,Bakery/Cafe,"pastry, coffee, baked, dessert, bakery, cafe",Vibrant & Block-based + Soft UI Evolution,"Claymorphism, Motion-Driven, Warm Organic Craft, Japandi Mobile",Hero-Centric Design + Conversion,N/A - Order focused,Warm Brown + Cream + Appetizing accents,Menu display. Online ordering. Location/hours. Catering. Seasonal specials. Appetizing photography.
64,Brewery/Winery,"beer, wine, craft, tasting, brew, vineyard, brewery, winery",Motion-Driven + Storytelling-Driven,"Dark Mode (OLED), Organic Biophilic, Warm Organic Craft",Storytelling-Driven + Hero-Centric,N/A - E-commerce focused,Deep amber/burgundy + Gold + Craft aesthetic,Product showcase. Story/heritage. Tasting notes. Events. Club membership. Artisanal imagery.
65,Airline,"airline, aviation, flight, travel, booking, airport, flying",Minimalism & Swiss Style + Glassmorphism,"Motion-Driven, Accessible & Ethical",Conversion-Optimized + Feature-Rich,Operations Dashboard,Sky Blue + Brand colors + Trust accents,Flight search. Booking. Check-in. Boarding pass. Loyalty program. Route maps. Mobile-first.
66,News/Media Platform,"content, entertainment, media, news, platform, streaming, video",Minimalism & Swiss Style + Flat Design,"Dark Mode (OLED), Accessible & Ethical, Dark Editorial, Editorial Enterprise",Hero-Centric Design + Feature-Rich,Media Analytics Dashboard,Brand colors + High contrast + Category colors,Article layout. Breaking news. Categories. Search. Subscription. Mobile reading. Fast loading.
67,Magazine/Blog,"articles, blog, content, magazine, posts, writing",Swiss Modernism 2.0 + Motion-Driven,"Minimalism & Swiss Style, Aurora UI, Dark Editorial",Storytelling-Driven + Hero-Centric,Content Analytics,Editorial colors + Brand primary + Clean white,Article showcase. Category navigation. Author profiles. Newsletter signup. Related content. Typography-focused.
68,Freelancer Platform,"gig, independent, contractor, talent, remote, freelancer, platform",Flat Design + Minimalism & Swiss Style,"Vibrant & Block-based, Micro-interactions",Feature-Rich Showcase + Conversion,Marketplace Analytics,Professional Blue + Success Green + Neutral,Profile creation. Portfolio. Skill matching. Messaging. Payment. Reviews. Project management.
69,Marketing Agency,"agency, creative, design, marketing, studio",Brutalism + Motion-Driven,"Vibrant & Block-based, Aurora UI",Storytelling-Driven + Feature-Rich,Campaign Analytics,Bold brand colors + Creative freedom,Portfolio. Case studies. Services. Team. Creative showcase. Results-focused. Bold aesthetic.
70,Event Management,"conference, event, event-management organizer venue, meetup, registration, ticket",Vibrant & Block-based + Motion-Driven,"Glassmorphism, Aurora UI, Bold Typography (Mobile Poster)",Hero-Centric Design + Feature-Rich,Event Analytics,Event theme colors + Excitement accents,Event showcase. Registration. Agenda. Speakers. Sponsors. Ticket sales. Countdown timer.
71,Membership/Community,"club, group, forum, member, exclusive, community, membership",Vibrant & Block-based + Soft UI Evolution,"Bento Grids, Micro-interactions, Risograph Mobile",Social Proof-Focused + Conversion,Community Analytics,Community brand colors + Engagement accents,Member benefits. Pricing tiers. Community showcase. Events. Member directory. Exclusive content.
72,Newsletter Platform,"email, subscribe, digest, writer, audience, newsletter, platform",Minimalism & Swiss Style + Flat Design,"Swiss Modernism 2.0, Accessible & Ethical",Minimal & Direct + Conversion,Email Analytics,Brand primary + Clean white + CTA accent,Subscribe form. Archive. About. Social proof. Sample content. Simple conversion.
73,Digital Products/Downloads,"asset, digital, download, ebook, license, template, toolkit",Vibrant & Block-based + Motion-Driven,"Glassmorphism, Bento Grids",Feature-Rich Showcase + Conversion,E-commerce Analytics,Product category colors + Brand + Success green,Product showcase. Preview. Pricing. Instant delivery. License management. Customer reviews.
74,Church/Religious Organization,"faith, worship, sermon, congregation, church, religious",Accessible & Ethical + Soft UI Evolution,"Minimalism & Swiss Style, Trust & Authority",Hero-Centric Design + Social Proof,N/A - Community focused,Warm Gold + Deep Purple/Blue + White,Service times. Events. Sermons. Community. Giving. Location. Welcoming imagery.
75,Sports Team/Club,"athlete, game, fan, match, league, sports, team, club",Vibrant & Block-based + Motion-Driven,"Dark Mode (OLED), 3D & Hyperrealism, Sports Action Mobile, Kinetic Brutalism (Mobile)",Hero-Centric Design + Feature-Rich,Performance Analytics,Team colors + Energetic accents,Schedule. Roster. News. Tickets. Merchandise. Fan engagement. Action imagery.
76,Museum/Gallery,"art, exhibit, collection, culture, history, museum, gallery",Minimalism & Swiss Style + Motion-Driven,"Swiss Modernism 2.0, 3D & Hyperrealism, Weingart Postmodern Type",Storytelling-Driven + Feature-Rich,Visitor Analytics,Art-appropriate neutrals + Exhibition accents,Exhibitions. Collections. Tickets. Events. Virtual tours. Educational content. Art-focused design.
77,Theater/Cinema,"movie, show, performance, film, stage, theater, cinema",Dark Mode (OLED) + Motion-Driven,"Vibrant & Block-based, Glassmorphism",Hero-Centric Design + Conversion,Booking Analytics,Dark + Spotlight accents + Gold,Showtimes. Seat selection. Trailers. Coming soon. Membership. Dramatic imagery.
78,Language Learning App,"flashcard, grammar, language, learning, study, translation, vocabulary",Claymorphism + Vibrant & Block-based,"Micro-interactions, Flat Design",Feature-Rich Showcase + Social Proof,Learning Analytics,Playful colors + Progress indicators + Country flags,Lesson structure. Progress tracking. Gamification. Speaking practice. Community. Achievement badges.
79,Coding Bootcamp,"bootcamp, code, coding, curriculum, developer, programming, training",Dark Mode (OLED) + Minimalism & Swiss Style,"Cyberpunk UI, Flat Design",Feature-Rich Showcase + Social Proof,Student Analytics,Code editor colors + Brand + Success green,Curriculum. Projects. Career outcomes. Alumni. Pricing. Application. Terminal aesthetic.
80,Cybersecurity Platform,"breach, cybersecurity, firewall, pentest, security, siem, threat, vulnerability",Cyberpunk UI + Dark Mode (OLED),"Neubrutalism, Minimal & Direct, Terminal CLI (Mobile)",Trust & Authority + Real-Time,Real-Time Monitoring + Heat Map,Matrix Green + Deep Black + Terminal feel,Data density. Threat visualization. Dark mode default.
81,Developer Tool / IDE,"cli, code, dev, developer, devtool, editor, ide, sdk",Dark Mode (OLED) + Minimalism & Swiss Style,"Flat Design, Bento Grids, Pitch Black Productivity",Minimal & Direct + Documentation,Real-Time Monitor + Terminal,Dark syntax theme colors + Blue focus,Keyboard shortcuts. Syntax highlighting. Fast performance.
82,Biotech / Life Sciences,"biotech, dna, genetics, genomics, laboratory, life-science, pharmaceutical, research",Glassmorphism + Nature Distilled,"Minimalism & Swiss Style, Organic Biophilic",Storytelling-Driven + Research,Data-Dense + Predictive,Sterile White + DNA Blue + Life Green,Data accuracy. Cleanliness. Complex data viz.
83,Space Tech / Aerospace,"aerospace, launch, orbit, rocket, satellite, space, spacecraft, telemetry",HUD / Sci-Fi FUI + Dark Mode (OLED),"Glassmorphism, 3D & Hyperrealism",Immersive Experience + Hero,Real-Time Monitoring + 3D,Deep Space Black + Star White + Metallic,High-tech feel. Precision. Telemetry data.
84,Architecture / Interior,"architect, architecture, decor, floor-plan, interior, renovation, room, spatial",Exaggerated Minimalism + Product Showcase Minimal,"Swiss Modernism 2.0, Parallax Storytelling",Portfolio Grid + Visuals,Project Management + Gallery,Monochrome + Gold Accent + High Imagery,High-res images. Typography. Space.
